epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4856,1.30243,4.99473,1.12328,0,0,0,0,0.90474,5.32794,0.95951,0.000136,0.000136,0.000136
2,22.2964,1.07052,4.58526,0.9959,0,0,0,0,0.79908,5.17165,0.83965,0.000282998,0.000282998,0.000282998
3,31.7832,0.97991,4.0189,0.90917,0.05,0.1,0.0995,0.06965,0.76867,5.11158,0.82535,0.000417429,0.000417429,0.000417429
4,42.4809,1.03247,3.73957,0.90656,0.10069,0.26607,0.09841,0.08215,0.85843,4.89849,0.83978,0.000419451,0.000419451,0.000419451
5,52.0006,1.02108,3.33413,0.90978,0.05274,0.30357,0.14149,0.11476,0.79378,4.81208,0.82062,0.000400602,0.000400602,0.000400602
6,61.5795,0.89389,3.01704,0.92101,0.03449,0.55107,0.13568,0.11236,0.85603,4.67658,0.83497,0.000381752,0.000381752,0.000381752
7,71.1086,0.84341,2.87888,0.90262,0.02583,0.58202,0.21434,0.16914,0.89294,4.41963,0.85117,0.000362902,0.000362902,0.000362902
8,81.897,0.91558,3.00019,0.9635,0.02205,0.74786,0.26575,0.23327,0.80726,4.33932,0.84002,0.000344053,0.000344053,0.000344053
9,91.7638,0.86319,2.76644,0.94159,0.01997,0.76452,0.24683,0.21992,0.77404,4.31781,0.83949,0.000325203,0.000325203,0.000325203
10,102.591,0.8228,2.77263,0.93341,0.02027,0.84048,0.23784,0.19068,0.75437,4.26371,0.83891,0.000306354,0.000306354,0.000306354
11,113.641,0.76372,2.59808,0.90856,0.01868,0.82619,0.36131,0.31794,0.76071,4.10919,0.85779,0.000287504,0.000287504,0.000287504
12,123.323,0.8309,2.74985,0.93244,0.01813,0.9,0.37136,0.31355,0.73618,3.92934,0.87315,0.000268654,0.000268654,0.000268654
13,133.561,0.81139,2.73553,0.94759,0.01743,0.9,0.34148,0.28808,0.72639,3.89479,0.86979,0.000249805,0.000249805,0.000249805
14,143.195,0.8379,2.78174,0.92043,0.74448,0.1,0.33823,0.2591,0.75948,3.84536,0.88388,0.000230955,0.000230955,0.000230955
15,153.336,0.7577,2.562,0.90701,0.8601,0.20745,0.36877,0.31763,0.74704,3.66341,0.87721,0.000212106,0.000212106,0.000212106
16,169.381,0.70944,2.68285,0.89344,0.53904,0.25253,0.38692,0.33547,0.70479,3.44841,0.85908,0.000193256,0.000193256,0.000193256
