epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1313,1.23644,12.2589,1.13681,0.01218,0.18333,0.03309,0.02577,0.90037,6.84054,0.96012,0.00309524,0.00309524,0.01
2,33.4789,1.23528,7.98156,1.10607,0.16683,0.07179,0.08044,0.06887,0.90478,6.90412,0.90329,0.006427,0.006427,0.00999843
3,49.8468,1.02949,4.60699,0.9922,0.60699,0.22078,0.16927,0.12994,0.79733,5.48939,0.90073,0.00975237,0.00975237,0.00999046
4,66.1955,1.14971,3.89475,1.19233,0.50665,0.21012,0.29315,0.24439,1.15742,4.97876,1.00514,0.00997803,0.00997803,0.00997803
5,82.564,1.15651,3.26688,1.07,0.21174,0.50265,0.25186,0.17119,1.15912,4.122,0.95509,0.00996097,0.00996097,0.00996097
6,98.8573,1.07048,3.24412,0.99694,0.30381,0.41329,0.19008,0.12651,1.03558,10.0692,0.98727,0.00993906,0.00993906,0.00993906
7,115.137,0.99888,2.93984,1.00005,0.30428,0.4119,0.22579,0.11267,1.32965,5.65545,1.04321,0.00991232,0.00991232,0.00991232
8,131.391,1.08993,2.8797,1.03696,0.30912,0.5281,0.25902,0.20269,0.85949,5.29601,0.88553,0.00988079,0.00988079,0.00988079
9,147.667,1.07071,2.97549,1.02299,0.28994,0.63929,0.35471,0.28847,1.11008,3.00188,0.88046,0.00984449,0.00984449,0.00984449
10,163.967,1.0509,2.56689,0.94603,0.32309,0.57845,0.33648,0.28489,0.7897,3.25538,0.84035,0.00980345,0.00980345,0.00980345
11,180.225,0.98209,3.21703,0.91619,0.31331,0.51524,0.3248,0.2317,1.436,4.38273,0.96256,0.00975773,0.00975773,0.00975773
12,196.563,1.08321,2.73981,0.97908,0.31597,0.42415,0.34325,0.24732,1.12024,3.5032,0.93326,0.00970736,0.00970736,0.00970736
13,212.849,1.05903,2.47711,1.00894,0.46417,0.35786,0.32385,0.25913,1.0308,2.77268,0.91955,0.00965239,0.00965239,0.00965239
14,229.132,1.07126,2.2126,1.0034,0.36351,0.49214,0.34058,0.26308,1.04272,2.58804,0.92775,0.00959289,0.00959289,0.00959289
15,245.393,1.13943,2.26492,1.10937,0.3572,0.32743,0.39106,0.30246,1.00184,2.52077,0.9361,0.00952889,0.00952889,0.00952889
16,261.652,0.99873,2.07066,0.94895,0.37001,0.38633,0.3926,0.28302,0.90251,2.54902,0.9043,0.00946048,0.00946048,0.00946048
17,278.309,0.98502,2.15129,0.91873,0.25324,0.42143,0.34046,0.23417,1.04964,2.57853,0.97296,0.00938772,0.00938772,0.00938772
18,295.833,1.04977,2.09912,0.94255,0.22373,0.44226,0.35717,0.25227,1.0578,2.47015,0.98622,0.00931067,0.00931067,0.00931067
19,312.771,1.00324,1.75268,0.96587,0.71374,0.18274,0.35525,0.24772,1.10583,2.40462,0.96723,0.00922942,0.00922942,0.00922942
20,329.281,1.04044,1.71629,0.98817,0.32757,0.44146,0.43937,0.28798,1.29203,2.26318,0.98904,0.00914405,0.00914405,0.00914405
21,345.566,1.03474,1.73974,0.99726,0.49872,0.45636,0.4093,0.29871,1.1446,2.20004,0.99072,0.00905463,0.00905463,0.00905463
22,361.835,1.03723,1.74824,1.00011,0.3345,0.49671,0.42156,0.33328,0.93189,1.8472,0.9112,0.00896127,0.00896127,0.00896127
23,378.127,1.01311,1.48719,0.97933,0.4795,0.41607,0.49822,0.37976,1.05602,1.77884,0.98647,0.00886404,0.00886404,0.00886404
24,394.423,0.98608,1.46963,0.98863,0.59304,0.48607,0.53376,0.42539,0.92562,1.69921,0.93232,0.00876305,0.00876305,0.00876305
25,410.762,0.92463,1.34845,0.91768,0.52298,0.52071,0.51107,0.41695,1.00901,1.90003,0.93872,0.00865839,0.00865839,0.00865839
26,427.034,0.93477,1.38683,0.92521,0.35389,0.5596,0.50014,0.39703,0.92859,1.82224,0.91532,0.00855018,0.00855018,0.00855018
27,443.32,0.99263,1.31391,0.986,0.41729,0.53399,0.52725,0.32892,1.17113,1.85215,1.00558,0.00843851,0.00843851,0.00843851
28,459.61,1.021,1.36186,0.94493,0.54932,0.51624,0.55727,0.36506,1.07972,1.78866,0.937,0.00832349,0.00832349,0.00832349
29,475.896,0.91596,1.46476,1.00971,0.57737,0.49354,0.5729,0.40764,0.98448,1.65029,0.90302,0.00820525,0.00820525,0.00820525
30,492.14,0.95575,1.22348,0.97188,0.64456,0.49826,0.58281,0.42082,0.95936,1.75951,0.89845,0.00808389,0.00808389,0.00808389
31,508.403,0.90333,1.19599,0.97005,0.57831,0.52072,0.59956,0.42461,1.02995,1.9088,0.88019,0.00795954,0.00795954,0.00795954
32,524.68,0.95941,1.01115,0.92999,0.55053,0.57569,0.55987,0.4035,0.91814,1.81496,0.86071,0.00783231,0.00783231,0.00783231
33,540.968,0.92733,1.17614,0.92885,0.50954,0.68191,0.62986,0.46607,0.87472,1.55516,0.85596,0.00770234,0.00770234,0.00770234
34,557.273,1.04317,1.30608,1.02813,0.53227,0.61503,0.68108,0.47394,1.01169,1.60509,0.87876,0.00756976,0.00756976,0.00756976
35,573.594,0.91366,1.04464,0.95344,0.71522,0.57007,0.68774,0.51725,1.00113,1.59617,0.8876,0.00743468,0.00743468,0.00743468
36,589.864,0.96232,1.1346,0.94451,0.50634,0.72457,0.62855,0.48414,0.84284,1.56714,0.84422,0.00729725,0.00729725,0.00729725
37,606.112,0.94192,1.0581,0.94433,0.66532,0.57623,0.63278,0.44211,1.01202,1.59012,0.88964,0.00715761,0.00715761,0.00715761
38,622.362,0.91557,0.95031,0.92231,0.72458,0.53812,0.60588,0.43691,0.97007,1.61298,0.88356,0.00701588,0.00701588,0.00701588
39,638.626,0.95277,0.99837,0.92061,0.75377,0.56693,0.67228,0.51781,0.84214,1.53832,0.86296,0.00687222,0.00687222,0.00687222
40,655.139,0.94156,1.06413,0.9998,0.67829,0.62184,0.68452,0.48972,0.96001,1.52471,0.89548,0.00672675,0.00672675,0.00672675
41,672.006,0.85673,1.13772,0.9246,0.72375,0.56043,0.67246,0.50972,0.91138,1.5162,0.86368,0.00657963,0.00657963,0.00657963
42,688.585,0.93278,1.07879,0.97135,0.68588,0.56416,0.65906,0.51045,0.87537,1.53872,0.86519,0.00643101,0.00643101,0.00643101
43,704.91,0.90892,0.97117,0.98444,0.63567,0.59486,0.64077,0.50121,0.85847,1.57454,0.86645,0.00628101,0.00628101,0.00628101
44,721.197,0.88359,0.83869,0.94101,0.65128,0.63856,0.64244,0.48846,1.02283,1.53919,0.89559,0.00612981,0.00612981,0.00612981
45,737.466,0.93474,0.8903,0.93978,0.73896,0.65993,0.68226,0.50831,0.97907,1.42532,0.87987,0.00597754,0.00597754,0.00597754
46,753.717,0.89247,0.90899,1.00385,0.77802,0.60844,0.70468,0.52132,1.00295,1.44702,0.88735,0.00582435,0.00582435,0.00582435
